Producto,Marca,Precio,Link,Tienda
"Laptop 2 en 1 Lenovo IP Flex 3 Chrome de 12.2"", ChromeOS, Intel N100, 8GB RAM, almacenamiento de 128GB, modelo 82XH001RPD",LENOVO,12990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-2-en-1-lenovo-ip-flex-3-chrome-de-12-2-chromeos-intel-n100-8gb-ram-almacenamiento-de-128gb-modelo-82xh001rpd,Hiraoka
"Macbook Air de 13.3"", procesador M1, 8GB RAM, disco sólido de 256GB, Gris Espacial",APPLE,34990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/macbook-air-13-m1-256-gb-ssd-8-gb-ram,Hiraoka
"Laptop Asus Vivobook S 15 OLED de 15.6"", Copilot+ PC, modelo S5507QA-MA001W, Qualcomm Snapdragon Elite X, 32GB RAM, disco sólido de 1TB",ASUS,51990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-vivobook-s-15-de-15-6-modelo-s5507qa-ma001w-qualcomm-snapdragon-elite-x-32gb-ram-disco-solido-de-1tb,Hiraoka
"MacBook Air de 13.6"", procesador M2, 8GB RAM, disco sólido de 256GB, Gris Espacial",APPLE,47990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/macbook-air-13-6-m2-256gb-ssd-gris-espacial,Hiraoka
"Laptop Gamer Lenovo LOQ de 15.6"", modelo 83JC005SLM, AMD Ryzen 7 7435HS, NVIDIA GeForce RTX 4060, 24GB RAM, disco sólido de 512GB",LENOVO,46990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-lenovo-loq-de-15-6-modelo-83jc005slm-amd-ryzen-7-7435hs-nvidia-geforce-rtx-4060-24gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop Gamer Lenovo Legion Pro 5i de 16"", modelo 83DF00A6LM, Intel Core i9-14900HX (14va Gen), 24 núcleos, NVIDIA GeForce RTX 4060, 16GB RAM, disco sólido de 1TB",LENOVO,69990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-lenovo-legion-pro-5i-de-16-modelo-83df00a6lm-intel-core-i9-14900hx-14va-gen-24-nucleos-nvidia-geforce-rtx-4060-16gb-ram-disco-solido-de-1tb,Hiraoka
"Laptopr Acer Aspire Go de 15.6"", AG15-31P-38E3, Intel Core i3 N305 (12va Gen), 8 núcleos, 8GB RAM, 512GB de disco sólido",ACER,14990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptopr-acer-aspire-go-de-15-6-ag15-31p-38e3-intel-core-i3-n305-12va-gen-8-nucleos-8gb-ram-512gb-de-disco-solido,Hiraoka
"Laptop Lenovo Yoga Slim 6i de 14"", Intel Core i7-13700H (13va Gen), 14 núcleos, 16GB RAM, disco sólido de 512GB, modelo 83E00010LM",LENOVO,32990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-lenovo-yoga-slim-6i-de-14-intel-core-i7-13700h-13va-gen-14-nucleos-16gb-ram-disco-solido-de-512gb-modelo-83e00010lm,Hiraoka
"Laptop Gamer Acer Nitro V de 16"", modelo ANV16-41-R4NE, AMD Ryzen 7 8845HS, NVIDIA GeForce RTX 4060, 32GB RAM, disco sólido de 512GB",ACER,52990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-gamer-acer-nitro-v-de-16-modelo-anv16-41-r4ne-amd-ryzen-7-8845hs-nvidia-geforce-rtx-4060-32gb-ram-disco-solido-de-512gb,Hiraoka
"Laptop 2 en 1 Asus Vivobook S 14 Flip de 14"", Pantalla touch, Intel Core i9-13900H (13va Gen), 14 núcleos, 16GB RAM, disco sólido de 1TB, modelo TP3402VA-LZ321W",ASUS,42990,https://hiraoka.com.pe/computo-y-tecnologia/computadoras/laptops/laptop-asus-vivobook-s-14-flip-de-14-intel-core-i9-13900h-13va-gen-14-nucleos-16gb-ram-disco-solido-de-1tb-modelo-tp3402va-lz321w,Hiraoka
